,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-1412000000.0,-273000000.0,-26363000000.0,-7269000000.0,-12138000000.0,-7516000000.0,20121000000.0,-6466000000.0,-22000000.0,32033000000.0,21227000000.0,781000000.0,-3748000000.0,-11562000000.0,9208000000.0,-1099000000.0,-10265000000.0,-24953000000.0
2019-03-31,-3505000000.0,-1759000000.0,-48059000000.0,17830000000.0,12655000000.0,2159000000.0,21480000000.0,1076000000.0,-23000000.0,36473000000.0,20228000000.0,-1764000000.0,-4012000000.0,-7042000000.0,406000000.0,-1140000000.0,-9567000000.0,-43329000000.0
2018-03-31,-4088000000.0,1593000000.0,-32603000000.0,-5514000000.0,-9858000000.0,1276000000.0,22712000000.0,1976000000.0,-36000000.0,44438000000.0,19512000000.0,-1361000000.0,-3218000000.0,8159000000.0,-5600000000.0,-1090000000.0,-14186000000.0,-41018000000.0
2017-03-31,3727000000.0,1441000000.0,-29597000000.0,-11218000000.0,-20020000000.0,-1866000000.0,22636000000.0,-11048000000.0,-4381000000.0,38569000000.0,18459000000.0,1312000000.0,-3235000000.0,1260000000.0,-2409000000.0,-1186000000.0,-10018000000.0,-34079000000.0
