,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-115014000000.0,0.0,-896437000000.0,881886000000.0,784869000000.0,312731000000.0,32433000000.0,460504000000.0,-27999000000.0,-19127000000.0,590084000000.0,64286000000.0,-516213000000.0,-66287000000.0,-2731000000.0,111803000000.0,-43485000000.0,
2019-03-31,-1113711000000.0,0.0,-1347136000000.0,-42777000000.0,-143428000000.0,1334147000000.0,225035000000.0,204054000000.0,-39000000000.0,-2373000000.0,1696993000000.0,68558000000.0,-339566000000.0,-58100000000.0,-3551000000.0,-25061000000.0,-58163000000.0,
2018-03-31,-812144000000.0,0.0,-995862000000.0,-9717000000.0,-85421000000.0,1323960000000.0,363928000000.0,75419000000.0,-22999000000.0,-12432000000.0,1169136000000.0,60317000000.0,-159036000000.0,-50413000000.0,-2292000000.0,-591901000000.0,-35547000000.0,
2017-03-31,-1906702000000.0,0.0,-2260016000000.0,966225000000.0,910086000000.0,1152057000000.0,231286000000.0,19244000000.0,-15999000000.0,-1950000000.0,1376809000000.0,69861000000.0,-429544000000.0,-41412000000.0,-8000000.0,-76395000000.0,-39785000000.0,1280000000.0
