,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Change To Netincome,Capital Expenditures
2021-03-31,1532000000.0,0.0,-1607000000.0,128900000000.0,117986000000.0,-123265000000.0,10283000000.0,4453000000.0,-111926000000.0,2121000000.0,-72000000.0,-10914000000.0,43000000.0,-938000000.0,-429000000.0
2020-03-31,-449000000.0,0.0,-2749000000.0,-18750000000.0,-41209000000.0,52026000000.0,6136000000.0,16237000000.0,60195000000.0,144000000.0,4000000.0,-22459000000.0,2000000.0,769000000.0,-276000000.0
2019-03-31,-140000000.0,0.0,-2011000000.0,-89850000000.0,-101650000000.0,92932000000.0,9562000000.0,-162000000.0,103499000000.0,1691000000.0,-13000000.0,-11800000000.0,-7000000.0,-1698000000.0,-327000000.0
2012-03-31,37000000.0,0.0,-1439000000.0,-5445000000.0,-9310000000.0,4697000000.0,4263000000.0,-361000000.0,10388000000.0,1769000000.0,16000000.0,-3865000000.0,46000000.0,-560000000.0,-15000000.0
