,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,-8658000000.0,-19662000000.0,-115597000000.0,50948000000.0,80981000000.0,-11853000000.0,46955000000.0,30430000000.0,9752000000.0,-669000000.0,43784000000.0,34994000000.0,-29346000000.0,-8029000000.0,-3741000000.0,11510000000.0,-8893000000.0,-17294000000.0,-61863000000.0,
2019-03-31,-8505000000.0,7312000000.0,-88804000000.0,51325000000.0,40905000000.0,-422000000.0,633000000.0,26468000000.0,9035000000.0,-266000000.0,56690000000.0,30296000000.0,-1739000000.0,-7868000000.0,-4000000000.0,-3559000000.0,-3181000000.0,-12775000000.0,-69235000000.0,-4000000.0
2018-03-31,-2681000000.0,17435000000.0,-61637000000.0,19984000000.0,4489000000.0,-1558000000.0,564000000.0,25173000000.0,-7979000000.0,-104000000.0,47764000000.0,29663000000.0,-1491000000.0,-7272000000.0,-3076000000.0,-25096000000.0,-8779000000.0,-10105000000.0,-53507000000.0,-8000000.0
2017-03-31,-12274000000.0,-3727000000.0,-44357000000.0,-1362000000.0,-8553000000.0,-57000000.0,412000000.0,22337000000.0,6815000000.0,-293000000.0,58873000000.0,27978000000.0,10052000000.0,-5485000000.0,-817000000.0,2573000000.0,246000000.0,-4393000000.0,-33237000000.0,-2364000000.0
