,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2021-03-31,1229000000.0,-3336000000.0,-5505000000.0,5424000000.0,12321000000.0,956000000.0,-2000000.0,9800000000.0,3026000000.0,-1824000000.0,-4061000000.0,-2029000000.0,-9977000000.0,-1444000000.0,-6066000000.0,-826000000.0,
2020-03-31,673000000.0,-1194000000.0,-5131000000.0,8880000000.0,9817000000.0,6166000000.0,2000000.0,12281000000.0,3120000000.0,24000000.0,-3475000000.0,-1242000000.0,-7373000000.0,-1656000000.0,-6816000000.0,-566000000.0,
2019-03-31,3226000000.0,-1424000000.0,-3905000000.0,-5898000000.0,7155000000.0,1352000000.0,2000000.0,6682000000.0,2866000000.0,-47000000.0,-2703000000.0,-1171000000.0,-868000000.0,-1202000000.0,-2785000000.0,-442000000.0,-110000000.0
2018-03-31,-1801000000.0,-1264000000.0,-3588000000.0,-2319000000.0,4551000000.0,6716000000.0,2000000.0,11569000000.0,2829000000.0,-13000000.0,-2535000000.0,2254000000.0,5610000000.0,-1053000000.0,-2230000000.0,-706000000.0,-110000000.0
