,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,118172000000.0,0.0,121823000000.0,148297000000.0,-434696000000.0,28142000000.0,-182331000000.0,-452452000000.0,5407000000.0,8609000000.0,-17618000000.0,165915000000.0,-40498000000.0,-667000000.0,
2019-03-31,-46256000000.0,0.0,-55862000000.0,240082000000.0,-85715000000.0,36130000000.0,71712000000.0,-112507000000.0,4784000000.0,-3813000000.0,-20300000000.0,260382000000.0,-106676000000.0,-933000000.0,
2018-03-31,-204822000000.0,0.0,-211578000000.0,95846000000.0,54851000000.0,43064000000.0,-5970000000.0,109763000000.0,3779000000.0,1169000000.0,-21813000000.0,117663000000.0,29652000000.0,-2370000000.0,-4000000.0
2017-03-31,-15141000000.0,0.0,-28244000000.0,-99735000000.0,75439000000.0,43849000000.0,-15705000000.0,112273000000.0,4161000000.0,-4540000000.0,-21694000000.0,-78041000000.0,-73605000000.0,-3790000000.0,-4000000.0
