,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-29545000000.0,26254000000.0,-277440000000.0,116242000000.0,-28886000000.0,-128942000000.0,148451000000.0,33700000000.0,-100024000000.0,-1626000000.0,341766000000.0,87607000000.0,-6260000000.0,-44103000000.0,148161000000.0,15166000000.0,-1001000000.0,-30429000000.0,-331722000000.0
2019-03-31,12124000000.0,-20042000000.0,-271083000000.0,-142449000000.0,-192473000000.0,18441000000.0,134608000000.0,-107550000000.0,-16000000.0,-1796000000.0,345954000000.0,83618000000.0,-8844000000.0,-37761000000.0,132337000000.0,-25298000000.0,-12247000000.0,-54041000000.0,-283307000000.0
2018-03-31,-5260000000.0,15388000000.0,-286841000000.0,79921000000.0,37203000000.0,15388000000.0,120443000000.0,43517000000.0,-37000000.0,-183000000.0,293338000000.0,83106000000.0,-995000000.0,-31913000000.0,86614000000.0,-56177000000.0,-10768000000.0,-42438000000.0,-286506000000.0
2017-03-31,-7645000000.0,-3433000000.0,-327292000000.0,30187000000.0,-4921000000.0,-78509000000.0,102681000000.0,-169049000000.0,-108000000.0,-5144000000.0,168527000000.0,81447000000.0,-175000000.0,-25112000000.0,84853000000.0,-41325000000.0,-9888000000.0,-37387000000.0,-274686000000.0
