,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-12-31,-4659000000.0,5680000000.0,-19868000000.0,-243000000.0,-9140000000.0,-44000000.0,29870000000.0,11127000000.0,-593000000.0,40729000000.0,11732000000.0,476000000.0,-6391000000.0,-1887000000.0,-1368000000.0,-2506000000.0,-17878000000.0,-22262000000.0,,
2019-12-31,-1164000000.0,-3744000000.0,-20754000000.0,-252000000.0,-10561000000.0,2962000000.0,20559000000.0,5433000000.0,-12000000.0,36762000000.0,10504000000.0,1289000000.0,-5809000000.0,-1557000000.0,3520000000.0,-4500000000.0,-6325000000.0,-16743000000.0,,
2018-12-31,-797000000.0,5129000000.0,-8989000000.0,-1774000000.0,-8754000000.0,393000000.0,25606000000.0,13570000000.0,-564000000.0,31879000000.0,8707000000.0,1089000000.0,-5808000000.0,-3882000000.0,-1285000000.0,-1172000000.0,-12841000000.0,-14999000000.0,,
2017-12-31,331000000.0,-1820000000.0,-8750000000.0,-941000000.0,-6754000000.0,3158000000.0,19827000000.0,13661000000.0,603000000.0,28562000000.0,9386000000.0,-348000000.0,-4359000000.0,137000000.0,-2721000000.0,-1424000000.0,-10138000000.0,-10814000000.0,1088000000.0,-1118000000.0
