,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-03-31,1137000000.0,-3494000000.0,-55275000000.0,53090000000.0,48327000000.0,-2522000000.0,2000000.0,3818000000.0,6057000000.0,-2304000000.0,15311000000.0,4509000000.0,-36000000.0,-3882000000.0,-111000000.0,5988000000.0,-883000000.0,-294000000.0,-1615000000.0,
2019-03-31,-689000000.0,620000000.0,-3779000000.0,-4787000000.0,-8190000000.0,-526000000.0,33000000.0,13005000000.0,-500000000.0,-108000000.0,11611000000.0,2136000000.0,-7000000.0,-3280000000.0,-2062000000.0,-1395000000.0,-156000000.0,-6238000000.0,-3243000000.0,
2018-03-31,-390000000.0,670000000.0,-7458000000.0,20706000000.0,13042000000.0,740000000.0,177000000.0,10782000000.0,14623000000.0,170000000.0,8856000000.0,1796000000.0,-1012000000.0,-2758000000.0,-3307000000.0,-2656000000.0,-83000000.0,-4468000000.0,-2821000000.0,-5000000000.0
2017-03-31,29000000.0,-7041000000.0,-4158000000.0,3553000000.0,3613000000.0,-1781000000.0,4039000000.0,9151000000.0,481000000.0,3000000.0,1023000000.0,1548000000.0,-254000000.0,-2236000000.0,-898000000.0,1276000000.0,-44000000.0,-5668000000.0,-1614000000.0,-1699000000.0
