,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments,Net Borrowings
2020-09-30,7921000000.0,-16621000000.0,-2590000000.0,5920000000.0,6608000000.0,17804000000.0,-39000000.0,37028000000.0,8719000000.0,-2587000000.0,-4157000000.0,-4866000000.0,1567000000.0,-8868000000.0,-4095000000.0,,
2019-09-30,-4661000000.0,-18000000000.0,-4662000000.0,2599000000.0,1694000000.0,-7817000000.0,-113000000.0,14917000000.0,8924000000.0,-715000000.0,-4026000000.0,-6797000000.0,-636000000.0,-4568000000.0,-6157000000.0,,
2018-09-30,5143000000.0,-22410000000.0,39748000000.0,-925000000.0,4849000000.0,45765000000.0,-48000000.0,28394000000.0,8771000000.0,-859000000.0,-4022000000.0,-2507000000.0,3228000000.0,-6135000000.0,-4019000000.0,-999000000.0,40542000000.0
2017-09-30,5037000000.0,-20396000000.0,-7233000000.0,759000000.0,4024000000.0,-5155000000.0,344000000.0,21624000000.0,8450000000.0,-759000000.0,-3139000000.0,-4097000000.0,-4133000000.0,-13203000000.0,-2757000000.0,261000000.0,39000000.0
