,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Other Cashflows From Financing Activities
2020-09-30,534000000.0,1186000000.0,-24054000000.0,22939000000.0,59430000000.0,4429000000.0,44565000000.0,59491000000.0,83872000000.0,-296000000.0,48793000000.0,540000000.0,-861000000.0,-8074000000.0,12516000000.0,-8803000000.0,-38432000000.0,-617000000.0,,
2019-09-30,-4947000000.0,1809000000.0,-4800000000.0,20394000000.0,7186000000.0,3197000000.0,130000000.0,39407000000.0,16366000000.0,-364000000.0,14344000000.0,526000000.0,-508000000.0,-6249000000.0,-17456000000.0,-14999000000.0,-14434000000.0,-983000000.0,-6425000000.0,-664000000.0
2018-09-30,497000000.0,1928000000.0,-12582000000.0,58186000000.0,50696000000.0,3666000000.0,45000000.0,31806000000.0,28068000000.0,-27000000.0,-10017000000.0,428000000.0,-393000000.0,-4520000000.0,-40288000000.0,-8580000000.0,-12627000000.0,-1028000000.0,-3015000000.0,-664000000.0
2017-09-30,497000000.0,1778000000.0,-1337000000.0,31416000000.0,25181000000.0,1633000000.0,70000000.0,24797000000.0,23401000000.0,356000000.0,-799000000.0,383000000.0,-361000000.0,-4482000000.0,-27302000000.0,-688000000.0,-12734000000.0,-807000000.0,-1256000000.0,-567000000.0
