,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-12-31,-21736000000.0,0.0,-343137000000.0,212248000000.0,187388000000.0,6694000000.0,63619000000.0,46324000000.0,-425000000.0,202304000000.0,15866000000.0,117000000.0,-23543000000.0,116937000000.0,3001000000.0,-892000000.0,-31474000000.0,-320637000000.0,
2019-12-31,-7459000000.0,0.0,-358334000000.0,161527000000.0,141523000000.0,12400000000.0,58805000000.0,16533000000.0,-1182000000.0,231180000000.0,14172000000.0,2755000000.0,-18531000000.0,152290000000.0,-2727000000.0,-291000000.0,-29253000000.0,-289762000000.0,
2018-12-31,-3595000000.0,0.0,-258127000000.0,147391000000.0,131010000000.0,5846000000.0,49515000000.0,3856000000.0,-1182000000.0,130973000000.0,11942000000.0,51000000.0,-15552000000.0,62399000000.0,1264000000.0,-829000000.0,-22496000000.0,-247082000000.0,
2017-12-31,-4103000000.0,0.0,-189088000000.0,161318000000.0,148483000000.0,4368000000.0,42402000000.0,5319000000.0,-1182000000.0,45724000000.0,11736000000.0,313000000.0,-11911000000.0,-20334000000.0,-356000000.0,-969000000.0,-10838000000.0,-196128000000.0,45000000.0
