,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,4516000000.0,0.0,,,,,,,,,,,,,,,,,
2020-03-31,10987000000.0,-22242000000.0,-1571000000.0,-39326000000.0,16687000000.0,10526000000.0,-956000000.0,17114000000.0,-5000000.0,-89000000.0,41033000000.0,24662000000.0,-699000000.0,-5114000000.0,9109000000.0,16128000000.0,-1042000000.0,-6838000000.0,-45415000000.0
2019-03-31,21182000000.0,-3163000000.0,426000000.0,-33707000000.0,12348000000.0,5589000000.0,3513000000.0,470000000.0,-7000000.0,-11000000.0,28114000000.0,23171000000.0,106000000.0,-5330000000.0,-17206000000.0,1258000000.0,-1422000000.0,-12569000000.0,-34355000000.0
2018-03-31,23920000000.0,15146000000.0,-604000000.0,-30215000000.0,12177000000.0,5477000000.0,4197000000.0,6572000000.0,-31000000.0,-173000000.0,31043000000.0,20740000000.0,-709000000.0,-5115000000.0,-16346000000.0,-20750000000.0,-1554000000.0,-8775000000.0,-30254000000.0
