,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Repurchase Of Stock
2021-03-31,-8619000000.0,9137000000.0,-27505000000.0,-4525000000.0,8019000000.0,12026000000.0,4175000000.0,1524000000.0,34682000000.0,18566000000.0,-2809000000.0,-4561000000.0,-6320000000.0,-11044000000.0,36000000.0,-2784000000.0,-16167000000.0,,
2020-03-31,-1042000000.0,-2833000000.0,-22289000000.0,-6772000000.0,-1568000000.0,15067000000.0,9702000000.0,-1581000000.0,40346000000.0,19875000000.0,1174000000.0,-5839000000.0,-2128000000.0,10261000000.0,-643000000.0,-6175000000.0,-22377000000.0,-290000000.0,
2019-03-31,-4898000000.0,414000000.0,-31933000000.0,-8033000000.0,665000000.0,18090000000.0,-2143000000.0,-96000000.0,37919000000.0,21419000000.0,-1964000000.0,-5838000000.0,-4396000000.0,-5044000000.0,-331000000.0,-1412000000.0,-25207000000.0,-1864000000.0,
2018-03-31,2476000000.0,-7946000000.0,-19769000000.0,3539000000.0,-10745000000.0,22014000000.0,4498000000.0,-98000000.0,20826000000.0,20969000000.0,-582000000.0,-5659000000.0,-2412000000.0,-3108000000.0,-459000000.0,-6028000000.0,-21726000000.0,9659000000.0,-2000000.0
