,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-12-31,-6523000000.0,20954000000.0,-303347000000.0,756128000000.0,808108000000.0,1275301000000.0,-114199000000.0,1542749000000.0,-3403000000.0,1041391000000.0,151506000000.0,62832000000.0,-6103000000.0,-238015000000.0,58083000000.0,-17339000000.0,-279278000000.0,
2019-12-31,28904000000.0,73658000000.0,-286290000000.0,488356000000.0,458340000000.0,621615000000.0,-31888000000.0,488315000000.0,-2055000000.0,318320000000.0,106370000000.0,-86351000000.0,-6113000000.0,-411494000000.0,-23903000000.0,-27271000000.0,-108065000000.0,
2018-12-31,-12964000000.0,22988000000.0,-67569000000.0,217567000000.0,208418000000.0,238208000000.0,142282000000.0,289361000000.0,2897000000.0,145615000000.0,72429000000.0,9020000000.0,-6056000000.0,-317394000000.0,-3093000000.0,-36039000000.0,-23442000000.0,
2017-12-31,-42423000000.0,21427000000.0,-203718000000.0,303380000000.0,194458000000.0,189224000000.0,110585000000.0,152612000000.0,-184000000.0,162056000000.0,54376000000.0,-56445000000.0,-6420000000.0,-217386000000.0,-2369000000.0,-23667000000.0,-31874000000.0,-100133000000.0
