,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-03-31,-27883000000.0,6011000000.0,-147223000000.0,70925000000.0,65077000000.0,-25483000000.0,38611000000.0,-87763000000.0,1042000000.0,-6660000000.0,37766000000.0,-1249000000.0,-11512000000.0,-64161000000.0,-2312000000.0,5664000000.0,-21482000000.0,-136247000000.0,,
2019-03-31,-18924000000.0,7635000000.0,-60389000000.0,73841000000.0,139093000000.0,14634000000.0,37459000000.0,123071000000.0,-155000000.0,44522000000.0,29988000000.0,-4292000000.0,-9143000000.0,-55586000000.0,-3805000000.0,8035000000.0,-9562000000.0,-74957000000.0,66361000000.0,-1000000.0
2018-03-31,-47744000000.0,-3798000000.0,-96423000000.0,81018000000.0,82400000000.0,10675000000.0,35185000000.0,-135000000.0,1743000000.0,12265000000.0,28554000000.0,-3780000000.0,-8223000000.0,-70734000000.0,-3236000000.0,9607000000.0,-8605000000.0,-47965000000.0,66361000000.0,-2000000.0
2017-03-31,-29732000000.0,2354000000.0,-70988000000.0,30711000000.0,23042000000.0,23617000000.0,31518000000.0,22000000000.0,1021000000.0,68925000000.0,28440000000.0,-5258000000.0,-7913000000.0,-25735000000.0,-3334000000.0,245000000.0,-2277000000.0,-53336000000.0,66361000000.0,-1000000.0
